Density (g/cm3),Gravimetric Surfcae Area (m2/g),Volumetric Surface Area (m2/cm3),Void Fraction,Pore Volume (cm3/g),Largest Cavity Diameter (Å),Pore Limiting Diameter (Å)
0.96,1174,1124,0.62,0.66,14.5,14.4
0.69,2493,1718,0.77,1.08,17.7,14.4
0.99,1258,1251,0.74,0.71,14.7,14.4
0.27,5737,1527,0.93,3.33,28.7,14.3
1.11,645,718,0.44,0.51,14.4,14.3
0.46,2982,1368,0.85,1.83,15.5,14.3
0.42,3297,1393,0.85,1.97,15.4,14.2
0.42,3289,1391,0.85,1.98,15.4,14.2
0.33,5275,1722,0.91,2.66,18.5,14.1
0.43,3146,1345,0.84,1.96,36.2,14
0.33,4619,1547,0.88,2.56,27.2,14
0.95,1212,1152,0.72,0.71,14.3,13.9
0.6,1955,1175,0.74,1.25,19.1,13.9
1.24,851,1054,0.55,0.51,14.7,13.8
0.51,4619,2375,0.78,1.54,15.6,13.7
0.87,1433,1245,0.67,0.77,14,13.6
0.22,6180,1373,0.94,4.08,31.6,13.6
0.86,1477,1273,0.68,0.77,13.9,13.6
0.69,1967,1349,0.74,1.14,18.3,13.5
0.34,4800,1651,0.88,2.53,22.8,13.5
0.71,2332,1661,0.72,1,15.1,13.4
0.78,2186,1699,0.65,0.94,15.2,13.4
0.78,2173,1689,0.66,0.94,15.3,13.4
0.43,3447,1468,0.84,1.96,18.8,13.4
