coreid,refcode,Density,GSA,VSA,PV,VF,LCD,PLD
2022[Cu][sql]2[FSR]3,d1qi00349f3_7_FSR_pacman,0.882166,2315.02,2042.23,0.760174,0.6706,8.13995,6.0612
2022[Cu][sql]2[FSR]2,d1qi00349f3_4_FSR_pacman,0.865402,2314.72,2003.17,0.798473,0.691,9.89179,5.90475
2022[Cu][sql]2[FSR]1,d1qi00349f3_1_FSR_pacman,0.800348,2736.72,2190.33,0.865873,0.693,9.57834,7.22782
2022[Cu][bnn]3[FSR]1,d1dt04129k2_1_FSR_pacman,1.71659,298.176,511.845,0.217408,0.3732,4.5322,3.65669
2022[Co][nan]3[FSR]1,d1ce00545f2_FSR_pacman,0.733345,2930.67,2149.19,0.977712,0.717,8.18299,7.27755
2022[Co][hxl]2[FSR]1,d1nj04480j2_1_FSR_pacman,1.18193,1239.68,1465.22,0.466185,0.551,5.65303,3.7818
2022[Co][gra]3[FSR]1,d1dt00005e2_3_FSR_pacman,1.29727,0,0,0.341948,0.4436,5.16671,2.46687
2022[Co][bcg]3[FSR]1,d1nj04480j2_2_FSR_pacman,0.944958,2336.64,2208.02,0.667966,0.6312,6.83432,5.57074
2022[Cd][sql]2[FSR]1,d1qm00251a2_3_FSR_pacman,1.33111,0,0,0.34723,0.4622,5.68434,2.48875
2022[Cd][pcu]3[FSR]1,d1nj04413c2_FSR_pacman,1.02792,1433.41,1473.43,0.550627,0.566,7.47477,4.74925
2022[Cd][nuc]3[FSR]1,d1cc05316g2_1_FSR_pacman,1.10193,850.619,937.323,0.462824,0.51,4.95702,4.0645
2022[Cd][nan]3[FSR]1,d1qi00683e2_3_FSR_pacman,1.32218,881.691,1165.75,0.383457,0.507,6.41087,5.7038
2022[Cd][nan]2[FSR]1,d1dt00894c2_3_FSR_pacman,1.14817,581.343,667.48,0.416663,0.4784,6.38494,5.50156
2022[Cd][fes]2[FSR]1,d1qi00683e2_1_FSR_pacman,1.58874,0,0,0.257562,0.4092,4.63163,2.86946
2022[Cd][crb]3[FSR]1,d1ce00310k2_2_FSR_pacman,1.86412,380.407,709.122,0.221124,0.4122,4.58636,3.50936
