Features,Model,MSE,R²
"Density,VSA,PV,PLD",SK_RF,0.048203976,0.996275184
"Density,VSA,PV,PLD",XG_RF,0.19755706765603748,0.9847343750825039
"Density,VSA,PV,PLD",SK_GB,0.11966322351531163,0.9907533863086907
"Density,VSA,PV,PLD",SK_LR,0.9849084173796219,0.9238941807742382
"Density,VSA,LCD,PLD",SK_RF,0.099190344,0.9923353661573051
"Density,VSA,LCD,PLD",XG_RF,1.7799915297583744,0.8624565378905036
"Density,VSA,LCD,PLD",SK_GB,0.15279665146801297,0.9881931008713837
"Density,VSA,LCD,PLD",SK_LR,2.430664484788468,0.8121777531661716
"Density,VF,PV,LCD",SK_RF,0.046152874,0.9964336762542203
"Density,VF,PV,LCD",XG_RF,0.13824167960890826,0.9893177923021791
"Density,VF,PV,LCD",SK_GB,0.068137358,0.9947348917603506
"Density,VF,PV,LCD",SK_LR,0.8224928983039486,0.936444349
"Density,VF,PV,PLD",SK_RF,0.058687667367901535,0.9954650879973528
"Density,VF,PV,PLD",XG_RF,0.13824167960890826,0.9893177923021791
"Density,VF,PV,PLD",SK_GB,0.076392198,0.9940970239469413
"Density,VF,PV,PLD",SK_LR,0.8776872639093389,0.9321793711322386
"Density,VF,LCD,PLD",SK_RF,0.048486455,0.9962533558092661
"Density,VF,LCD,PLD",XG_RF,0.3595246480507197,0.9722188201573595
"Density,VF,LCD,PLD",SK_GB,0.075723146,0.9941487229179101
"Density,VF,LCD,PLD",SK_LR,2.4297923161710044,0.8122451473583258
