Features,Model,MSE,R²
"Density,VF,LCD",SK_GB,0.049853015743582224,0.9961477589823687
"Density,VF,LCD",SK_LR,2.808432126655542,0.7829869011499315
"Density,VF,PLD",SK_RF,0.06987686716402954,0.9946004764233847
"Density,VF,PLD",XG_RF,0.11504767697914949,0.9911100387081532
"Density,VF,PLD",SK_GB,0.060102020253385825,0.9953557981556531
"Density,VF,PLD",SK_LR,3.0205416156067737,0.7665967818887524
"Density,PV,LCD",SK_RF,0.047948083410487806,0.9962949568671888
"Density,PV,LCD",XG_RF,0.14402293416273831,0.9888710633411834
"Density,PV,LCD",SK_GB,0.049166171080329946,0.9962008328264492
"Density,PV,LCD",SK_LR,0.915408515578683,0.9292645754925034
"Density,PV,PLD",SK_RF,0.05805212812926171,0.995514197369913
"Density,PV,PLD",XG_RF,0.10980405012038566,0.9915152241149975
"Density,PV,PLD",SK_GB,0.05579305820444526,0.9956887601660904
"Density,PV,PLD",SK_LR,0.9857130196801587,0.9238320075648792
"Density,LCD,PLD",SK_RF,0.14628531157139768,0.9886962449691951
"Density,LCD,PLD",XG_RF,0.2541792089816164,0.9803590703578626
"Density,LCD,PLD",SK_GB,0.1426523339966655,0.9889769723238149
"Density,LCD,PLD",SK_LR,2.4715042137657783,0.8090219866238919
"GSA,VSA,VF",SK_RF,0.06381232624817096,0.9950690954812433
"GSA,VSA,VF",XG_RF,0.09078655180898781,0.9929847437810637
"GSA,VSA,VF",SK_GB,0.06085268169433457,0.9952977930630815
"GSA,VSA,VF",SK_LR,0.9847913767188889,0.9239032247373221
"GSA,VSA,PV",SK_RF,0.07097257927043792,0.9945158085842005
"GSA,VSA,PV",XG_RF,0.08661312060723574,0.9933072330551799
"GSA,VSA,PV",SK_GB,0.07339446352471202,0.994328664803125
"GSA,VSA,PV",SK_LR,0.3691000914888177,0.9714789067253622
"GSA,VSA,LCD",SK_RF,0.1413650923137664,0.9890764400317661
"GSA,VSA,LCD",XG_RF,0.16346720936952944,0.9873685657812568
"GSA,VSA,LCD",SK_GB,0.12592796895912223,0.990269297051427
"GSA,VSA,LCD",SK_LR,0.6331300518782882,0.9510767900604977
"GSA,VSA,PLD",SK_RF,0.171374946267296,0.9867575193284024
"GSA,VSA,PLD",XG_RF,0.2241574083340813,0.9826789142058744
"GSA,VSA,PLD",SK_GB,0.16240674576235564,0.9874505098992671
"GSA,VSA,PLD",SK_LR,0.7837449260565167,0.9394384811734482
"GSA,VF,PV",SK_RF,0.05661999748317923,0.9956248609342964
"GSA,VF,PV",XG_RF,0.07603186836806966,0.994124867320342
"GSA,VF,PV",SK_GB,0.04864222933579556,0.9962413188401645
"GSA,VF,PV",SK_LR,0.6862234523373679,0.9469741581140979
"GSA,VF,LCD",SK_RF,0.1340073366182013,0.9896449883505669
"GSA,VF,LCD",XG_RF,0.15016616080180037,0.9883963640820388
"GSA,VF,LCD",SK_GB,0.12692412457775779,0.9901923221387399
"GSA,VF,LCD",SK_LR,1.4370887631377292,0.8889533121163509
"GSA,VF,PLD",SK_RF,0.1600670755085772,0.9876313008420998
"GSA,VF,PLD",XG_RF,0.1655565308538609,0.9872071197824358
"GSA,VF,PLD",SK_GB,0.15655688278180432,0.9879025403689404
"GSA,VF,PLD",SK_LR,2.104613419788685,0.8373723631150438
"GSA,PV,LCD",SK_RF,0.08754844367200543,0.9932349587941126
"GSA,PV,LCD",XG_RF,0.4206210650677776,0.9674977793105233
"GSA,PV,LCD",SK_GB,0.07913036218363703,0.9938854405817351
"GSA,PV,LCD",SK_LR,0.4809748798003917,0.9628341208093136
"GSA,PV,PLD",SK_RF,0.09932789014381058,0.9923247376934058
"GSA,PV,PLD",XG_RF,0.21923012041758183,0.9830596554776813
"GSA,PV,PLD",SK_GB,0.09246426903923148,0.9928551032561339
"GSA,PV,PLD",SK_LR,0.629647693188322,0.9513458787963245
"GSA,LCD,PLD",SK_RF,0.2698648103066866,0.9791470129545263
"GSA,LCD,PLD",XG_RF,0.602725697635108,0.9534261945806295
"GSA,LCD,PLD",SK_GB,0.28425095590262434,0.9780353670626242
"GSA,LCD,PLD",SK_LR,1.5169183362870051,0.8827847232853888
"VSA,VF,PV",SK_RF,0.05447187192335551,0.9957908508402057
"VSA,VF,PV",XG_RF,0.08311223450486155,0.9935777534407668
"VSA,VF,PV",SK_GB,0.048196659765723265,0.9962757488811248
"VSA,VF,PV",SK_LR,0.8708727615223338,0.9327059411946192
"VSA,VF,LCD",SK_RF,0.28472609103042307,0.9779986524326079
"VSA,VF,LCD",XG_RF,0.31233961399141197,0.9758649009593017
"VSA,VF,LCD",SK_GB,0.28419533571849726,0.9780396649441366
"VSA,VF,LCD",SK_LR,2.72297538245313,0.7895903126053786
"VSA,VF,PLD",SK_RF,0.3013896182010339,0.9767110287671669
"VSA,VF,PLD",XG_RF,0.31207573678762246,0.9758852912721623
"VSA,VF,PLD",SK_GB,0.28818034526701414,0.9777317353834174
"VSA,VF,PLD",SK_LR,2.586286880854335,0.8001525031698526
"VSA,PV,LCD",SK_RF,0.08326913101627506,0.9935656297373604
"VSA,PV,LCD",XG_RF,0.20460353757988314,0.9841898804302694
"VSA,PV,LCD",SK_GB,0.0759281071773048,0.9941328851525462
"VSA,PV,LCD",SK_LR,1.037613655969369,0.9198215428623461
"VSA,PV,PLD",SK_RF,0.09990634857013998,0.9922800390679833
"VSA,PV,PLD",XG_RF,0.20681814662351308,0.9840187532142196
"VSA,PV,PLD",SK_GB,0.0938935593253717,0.9927446591719747
"VSA,PV,PLD",SK_LR,1.183216466820231,0.908570526010586
"VSA,LCD,PLD",SK_RF,0.8885427490699586,0.9313405463474529
"VSA,LCD,PLD",XG_RF,0.9778547601058228,0.9244392308072031
"VSA,LCD,PLD",SK_GB,0.9277468962112588,0.9283111644449465
"VSA,LCD,PLD",SK_LR,2.737448795827273,0.7884719233598456
"VF,PV,LCD",SK_RF,0.046885845582335973,0.9963770380827592
"VF,PV,LCD",XG_RF,0.07385751418147522,0.99429288396406
"VF,PV,LCD",SK_GB,0.04336480354210575,0.996649115957485
"VF,PV,LCD",SK_LR,0.8269715409852078,0.9360982752381013
"VF,PV,PLD",SK_RF,0.060787124878724966,0.9953028587677397
"VF,PV,PLD",XG_RF,0.1079934926075826,0.991655129471004
"VF,PV,PLD",SK_GB,0.05332258031827555,0.9958796588731055
"VF,PV,PLD",SK_LR,0.880334677274523,0.9319748002712009
"VF,LCD,PLD",SK_RF,0.2965449931024629,0.9770853825197212
"VF,LCD,PLD",XG_RF,0.29917415946032994,0.9768822216409883
"VF,LCD,PLD",SK_GB,0.2776241564652788,0.9785474329472531
"VF,LCD,PLD",SK_LR,2.4545746305531697,0.8103301689653265
"PV,LCD,PLD",SK_RF,0.08577273499207216,0.9933721713119549
"PV,LCD,PLD",XG_RF,0.20292039997683356,0.9843199397981146
"PV,LCD,PLD",SK_GB,0.08116400058369061,0.9937282973248455
"PV,LCD,PLD",SK_LR,1.2078170784949653,0.9066695881447673
"Density,GSA,VSA,VF",SK_RF,0.05746960466643939,0.9955592101087363
"Density,GSA,VSA,VF",XG_RF,0.09441945643313368,0.9927040220634797
"Density,GSA,VSA,VF",SK_GB,0.05372196808345,0.9958487973914479
"Density,GSA,VSA,VF",SK_LR,0.9690414172318679,0.9251202552229802
"Density,GSA,VSA,PV",SK_RF,0.05204576169647733,0.9959783211705333
"Density,GSA,VSA,PV",XG_RF,0.06535764949133274,0.9949496853012569
"Density,GSA,VSA,PV",SK_GB,0.052971179453851894,0.9959068123121376
"Density,GSA,VSA,PV",SK_LR,0.35353814587167354,0.972681409007849
"Density,GSA,VSA,LCD",SK_RF,0.12169596518559293,0.9905963123438821
